Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO7169,3.047313666,4.254414009,4.045140908,5.14594622,4.410345264,4.443009994,4.694983028,4.717572729,4.319326792
SCO7170,6.022194351,5.788873525,7.520461635,6.90385798,7.817923421,7.320520629,7.076031258,7.149765311,7.165085744
SCO7171,6.800733595,6.493774517,5.626262443,5.52726124,5.366542035,6.101689902,5.769846064,5.854251489,6.390636926
SCO7172,6.336823284,6.40645758,4.989873762,4.945844829,4.727655076,4.81891999,4.783244148,4.887017428,5.410543286
SCO7173,11.29987998,10.93160128,11.11962406,10.49728112,10.73360456,10.7190784,10.73566787,10.7608947,10.55180457
SCO7174,5.783024477,5.491607617,4.742737858,6.126577917,5.364728622,6.14081693,5.920871629,5.930826451,7.094149526
SCO7175,4.484875819,3.48092875,3.805106601,3.579420582,3.772715198,4.08811145,3.790654074,3.869188207,4.146646332
SCO7176,6.43346992,6.056091347,8.669124022,8.090213143,9.078158009,8.21805083,8.342018777,8.383160957,7.540614494
SCO7177,4.920232009,2.858581958,5.437614509,4.946972037,5.388955859,5.149231393,5.067923848,5.219275918,5.157653544
SCO7178,3.219901756,1.570481071,3.101017197,3.763469685,3.924344157,4.017317065,3.458179355,4.157223056,3.533335505
SCO7179,5.781239918,5.705158727,7.413459291,7.097755726,7.648533352,7.036027328,7.087893686,7.153579469,6.94662359
SCO7180,1.236974422,2.795425107,3.180352002,3.02283624,3.126593974,3.36667797,3.240704292,2.50299101,3.072867058
SCO7181,4.23297187,3.81805903,5.53560331,4.867021605,5.039228074,4.716709998,5.074687561,5.037159264,5.116704673
SCO7182,3.931962006,4.189834036,5.73812213,5.310961878,5.479679202,5.217368343,5.196143426,5.246016867,4.913241218
SCO7183,5.145018801,4.723844076,5.981549115,5.907795187,6.053217268,5.630156732,5.781288731,5.828125806,5.693399995
SCO7184,2.971993548,5.0408012,5.978528502,5.579673854,6.046978125,5.773230526,5.559740112,5.683301355,5.345745064
SCO7185,6.869151891,7.207462348,7.147965786,7.21450725,6.836284669,6.785428879,6.834583095,6.657669634,6.771558893
SCO7186,6.753449179,7.215659508,5.527026101,6.342539633,5.248680981,5.89330257,5.757347116,5.743048355,5.913170248
SCO7187,6.570803587,7.922844288,8.907386519,8.535314481,8.807589131,8.252654904,8.18593948,8.209277905,7.831987759
